id,Reference,lat,long,rfrog,rprey,size,nmodulos,nlink,com,NODF,mod,h2,dNODF,dmod,dh2,zNODF,zmod,zh2,NODFsig,modsig,h2sig,complete,intens,region
43,46,-12.5833,-69.083333,57,27,84,4,4.940476,0.2696556,34.63929,0.270597,0.3781625,-27.31716,0.264017,0.3510034,-14.09844,97.84806,192.1482,10,0,0,73.42027,1.539765,Tropical
19,9,-10.5417,-37.058378,16,20,36,5,2.361111,0.265625,41.36858,0.4291301,0.4104796,-12.37532,0.2988162,0.3341937,-3.240786,24.24635,37.84932,10,0,0,72.6738,0.7449832,Tropical
20,10,-9.6500,-37.666747,11,20,31,3,2.483871,0.35,42.91293,0.1659112,0.485276,-26.44387,0.1509968,0.4715143,-6.74423,54.64452,147.0354,10,0,0,60.63708,2.487423,Tropical
17,45,-9.5833,-74.8,13,4,17,3,2.588235,0.8461538,38.83598,0.09569118,0.1591012,-2.773875,0.08418998,0.1556287,-0.3171439,35.16318,186.4525,7.09,0,0,99.0991,3.222039,Tropical
44,24,-9.0000,-41,3,15,18,2,1.833333,0.7333333,49.18981,0.1502317,0.1316896,0.4342926,0.133042,0.1231546,0.06992298,28.30543,53.98084,4.83,0,0,75.5806,4.127146,Tropical
40,21,-7.4744,-38.344167,13,25,38,4,2.894737,0.3384615,44.40146,0.5639349,0.6112112,-28.36874,0.5327311,0.5983148,-9.71682,138.0967,379.2857,10,0,0,88.08668,2.453255,Tropical
24,14,-7.4167,-36.514381,16,27,43,4,3.488372,0.3472222,49.63392,0.3260527,0.2648016,-18.57032,0.2547802,0.230686,-7.192091,42.42224,78.5788,10,0,0,85.00655,1.533379,Tropical
18,8,-7.1804,-35.094242,3,22,25,2,1.84,0.6969697,52.26747,0.05498715,0.3262417,-5.164796,0.04958649,0.3220895,-1.335636,34.79653,100.0986,8.98,0,0,81.96283,5.806318,Tropical
23,13,-6.7215,-35.189322,26,21,47,3,3.404,0.2930403,42.49696,0.2530714,0.4316516,-23.40444,0.2282559,0.4123102,-6.955665,70.14057,137.8813,10,0,0,79.34697,1.689788,Tropical
22,12,-6.6650,-40.208611,16,20,36,3,2.694444,0.303125,42.79577,0.2639933,0.3319791,-26.23305,0.2306217,0.3116492,-7.009509,47.70536,91.25657,10,0,0,75.18273,1.667708,Tropical
21,11,-6.5860,-37.267303,16,23,39,4,3.333333,0.3532609,40.65393,0.3028438,0.4370453,-26.92551,0.2727174,0.422699,-8.11798,82.19314,258.8238,10,0,0,79.20792,2.314087,Tropical
48,36,-0.7669,-76.1,38,22,60,3,4.05,0.2906699,33.01103,0.5662545,0.6728884,-26.16882,0.5318178,0.6545565,-11.79249,143.2237,370.5896,10,0,0,75.22358,1.618967,Tropical
10,35,0.0500,-76.983564,64,20,84,4,4.178571,0.2742188,29.25343,0.4067507,0.4526666,-22.81031,0.3291227,0.4010762,-10.71496,73.89422,120.5282,10,0,0,71.66234,0.9317323,Tropical
4,50,1.3152,103.816303,6,22,28,3,3,0.6363636,47.66824,0.1106859,0.2692125,-22.56371,0.1022722,0.2649521,-6.973475,63.85907,334.6591,10,0,0,94.33856,5.966574,Tropical
51,40,1.6167,113.583333,10,10,20,2,3,0.6,49.96649,0.2863515,0.2916833,-20.35193,0.2483057,0.2730083,-4.898831,47.61362,88.85525,10,0,0,95.24112,1.765786,Tropical
9,30,4.1321,-73.641597,24,21,45,3,2.8,0.25,39.38511,0.2026762,0.2958518,-22.22563,0.1667973,0.2686964,-7.309083,49.87187,81.41096,10,0,0,80.45309,1.480991,Tropical
53,34,4.5927,-75.820864,8,18,26,2,2.230769,0.4027778,57.41036,0.1525256,0.08686283,0.2337576,0.04123304,0.02481283,0.05446144,2.511148,2.208902,5.03,0,0.18,66.44062,0.8916277,Tropical
33,33,4.8333,-76.25,17,20,37,5,3.513514,0.3823529,41.24124,0.3406463,0.2887025,-14.70027,0.2218267,0.2219106,-4.454416,21.32985,31.64497,10,0,0,67.10232,0.8373628,Tropical
50,42,5.1172,7.78752,4,22,26,4,2.153846,0.6363636,36.74843,0.2683021,0.2200405,-12.39645,0.1251512,0.1252834,-2.87072,7.977284,6.688076,9.93,0,0,73.71816,1.053565,Tropical
2,39,5.5286,-4.019383,4,15,19,2,2.05,0.65,44.14414,0.2832919,0.2145942,-4.490702,0.210092,0.1734029,-1.006445,16.01965,17.75594,8.49,0,0,96.30581,1.37295,Tropical
32,32,7.0500,-72.950144,6,14,20,4,2.3,0.547619,40.55956,0.2448517,0.2002427,-11.89404,0.09552918,0.09061914,-1.926944,4.112623,3.7394,9.57,0,0.01,40.65759,0.7,Tropical
31,55,8.6167,-71.15,6,26,32,4,2.46875,0.5064103,52.51681,0.1700244,0.1061908,-9.319109,0.09557646,0.0671853,-2.567677,9.206582,8.682765,9.93,0,0,60.71132,1.498888,Tropical
28,31,9.0000,-73.966667,4,15,19,3,1.894737,0.6,40.95345,0.3894544,0.4772282,-12.12143,0.2788272,0.4171327,-2.10044,16.02042,30.73684,9.72,0,0,84.26572,1.106797,Tropical
15,43,9.0833,-79.833333,8,4,12,3,1.666667,0.625,37.7451,0.04326963,0.1984029,-22.87188,0.02871535,0.1758953,-3.113857,7.627802,17.92781,10,0,0,86.49771,1.566046,Tropical
16,44,9.3333,-78.916667,20,4,24,2,2.5,0.75,43.97473,0.2043652,0.2355513,-6.570019,0.1834349,0.2285524,-1.184666,49.58703,148.9048,8.96,0,0,95.89107,1.986706,Tropical
6,29,10.0810,-74.001217,5,19,24,3,2.541667,0.6421053,56.07145,0.1182755,0.06485921,1.168751,0.03441769,0.02365786,0.2817218,3.13764,2.741342,3.84,0,0.06,70.33241,1.369671,Tropical
3,52,23.4283,120.485,5,19,24,4,2.208333,0.5578947,50.85432,0.05801944,0.109761,-11.6947,0.04413054,0.08924968,-2.556764,19.2738,22.3851,9.9,0,0,54.0199,3.670967,Tropical
8,41,29.4621,-110.614017,3,9,12,3,1.666667,0.7407407,50.42735,0.2887919,0.5439144,1.133407,0.2723782,0.5380512,0.1189228,50.90484,252.4695,5.41,0,0,71.43878,3.767404,Tropical
55,28,30.2916,122.170978,3,14,17,3,2,0.8095238,36.80851,0.170574,0.2278935,-5.26648,0.1407699,0.2137642,-0.7810876,25.09034,45.8107,7.85,0,0,84.48464,2.649528,Temperate
7,51,40.2824,-6.661025,7,30,37,4,3.054054,0.5380952,67.29293,0.226807,0.21722,5.335542,0.2048915,0.2115529,2.317003,66.29467,266.8835,9.86,0,0,87.46265,4.680354,Temperate
54,38,42.1392,12.102483,6,21,27,2,2.518519,0.5396825,52.09394,0.2488097,0.3560385,-22.96186,0.2277239,0.3477295,-6.940594,71.88319,229.7953,10,0,0,87.40585,3.7072,Temperate
49,49,45.1063,19.910639,3,23,26,3,2.076923,0.7826087,45.78125,0.07475847,0.04118551,1.375892,0.048732,0.03461135,0.210492,11.19665,22.30611,4.33,0,0,90.003,4.664762,Temperate
11,48,45.1691,27.947175,4,12,16,3,2.6875,0.8958333,35.25132,0.2314327,0.1926103,10.9809,0.1983956,0.1868288,0.9350783,34.701,114.1436,1.63,0,0,91.49326,3.284052,Temperate
52,37,46.6373,17.142793,3,21,24,3,1.708333,0.6507937,47.6945,0.1965781,0.2007632,-2.59191,0.1081497,0.1568088,-0.5395036,8.09263,13.67802,7.04,0,0,62.18057,1.620699,Temperate
5,47,52.2031,17.48955,3,12,15,3,1.6,0.6666667,44.7205,0.2470037,0.3322254,-5.605653,0.1735652,0.2902968,-0.8640647,10.65374,19.50323,7.76,0,0,80.06138,1.324135,Temperate
